ScoreId,GameId,PlayerId,Rank,RawScore,Score,
567,132,47,1,0,41,
568,132,84,2,0,25,
569,132,45,3,0,-6,
570,132,52,4,0,-19,
571,132,23,5,0,-41,
572,133,61,1,0,30,
573,133,4,2,0,14,
574,133,70,3,0,-17,
575,133,31,4,0,-27,
576,134,83,1,0,40,
577,134,98,2,0,19,
578,134,47,3,0,-18,
579,134,23,4,0,-41,
580,135,98,1,0,31,
581,135,83,2,0,7,
582,135,47,3,0,-11,
583,135,23,4,0,-27,
584,136,61,1,0,26,
585,136,31,2,0,7,
586,136,12,3,0,-5,
587,136,59,4,0,-28,
588,137,45,1,0,39,
589,137,24,2,0,3,
590,137,23,3,0,-15,
591,137,89,4,0,-27,
592,138,33,1,0,26,
593,138,13,2,0,7,
594,138,31,3,0,-9,
595,138,39,4,0,-24,
596,139,98,1,0,44,
597,139,66,2,0,13,
598,139,23,3,0,-3,
599,139,63,4,0,-54,
600,140,4,1,0,40,
601,140,6,2,0,12,
602,140,47,3,0,-12,
603,140,45,4,0,-40,
604,141,52,1,0,20,
605,141,24,2,0,10,
606,141,61,3,0,-5,
607,141,9,4,0,-25,
608,142,6,1,0,48,
609,142,39,2,0,15,
610,142,84,3,0,2,
611,142,33,4,0,-16,
612,142,98,5,0,-49,
613,143,61,1,0,36,
614,143,52,2,0,25,
615,143,4,3,0,4,
616,143,47,4,0,-27,
617,143,9,5,0,-38,
618,144,61,1,0,30,
619,144,98,2,0,14,
620,144,42,3,0,-5,
621,144,52,4,0,-39,
622,145,24,1,0,82,
623,145,6,2,0,26,
624,145,23,3,0,-18,
625,145,84,4,0,-29,
626,145,45,5,0,-61,
627,146,66,1,0,23,
628,146,4,2,0,10,
629,146,47,3,0,-6,
630,146,9,4,0,-27,
631,147,4,1,0,33,
632,147,39,2,0,22,
633,147,13,3,0,3,
634,147,12,4,0,-13,
635,147,84,5,0,-45,
636,148,61,1,0,29,
637,148,21,2,0,12,
638,148,60,3,0,-1,
639,148,59,4,0,-40,
640,149,23,1,0,33,
641,149,45,2,0,23,
642,149,47,3,0,2,
643,149,42,4,0,-15,
644,149,24,5,0,-43,
645,150,52,1,0,73,
646,150,9,2,0,18,
647,150,4,3,0,-3,
648,150,40,4,0,-31,
649,150,66,5,0,-57,
650,151,60,1,0,30,
651,151,59,2,0,16,
652,151,61,3,0,2,
653,151,21,4,0,-48,
654,152,6,1,0,26,
655,152,84,2,0,8,
656,152,98,3,0,-7,
657,152,39,4,0,-27,
658,153,4,1,0,40,
659,153,47,2,0,16,
660,153,45,3,0,-2,
661,153,89,4,0,-19,
662,153,84,5,0,-35,
663,154,6,1,0,30,
664,154,42,2,0,16,
665,154,69,3,0,-9,
666,154,12,4,0,-37,
667,155,61,1,0,34,
668,155,43,2,0,18,
669,155,39,3,0,2,
670,155,98,4,0,-14,
671,155,9,5,0,-40,
672,156,21,1,0,33,
673,156,23,2,0,14,
674,156,66,3,0,2,
675,156,24,4,0,-13,
676,156,52,5,0,-36,
677,157,47,1,0,60,
678,157,24,2,0,8,
679,157,98,3,0,-4,
680,157,45,4,0,-19,
681,157,6,5,0,-45,
682,158,9,1,0,38,
683,158,4,2,0,24,
684,158,84,3,0,1,
685,158,89,4,0,-26,
686,158,52,5,0,-37,
687,159,61,1,0,43,
688,159,21,2,0,11,
689,159,55,3,0,0,
690,159,39,4,0,-13,
691,159,23,5,0,-41,
692,160,61,1,0,26,
693,160,52,2,0,11,
694,160,42,3,0,0,
695,160,66,4,0,-37,
696,161,24,1,0,41,
697,161,98,2,0,3,
698,161,45,3,0,-11,
699,161,47,4,0,-33,
700,162,21,1,0,40,
701,162,39,2,0,8,
702,162,66,3,0,-3,
703,162,4,4,0,-45,
704,163,47,1,0,32,
705,163,9,2,0,14,
706,163,89,3,0,-18,
707,163,21,4,0,-28,
708,164,24,1,0,26,
709,164,6,2,0,15,
710,164,83,3,0,-8,
711,164,42,4,0,-33,
